State,Ini_Colonies,Max_Colonies,Lost_Colonies,Percent_Loss,Added_Colonies,Renovated_Colonies,Percent_Renovated,Year
Alabama,7000,7000,1800,25.71428571428571,2800,250,3.571428571428571,2015-Q1
Arizona,35000,35000,4600,13.142857142857142,3400,2100,6.0,2015-Q1
Arkansas,13000,14000,1500,10.714285714285714,1200,90,0.6923076923076923,2015-Q1
California,1440000,1690000,255000,15.088757396449704,250000,124000,8.61111111111111,2015-Q1
Colorado,3500,12500,1500,12.0,200,140,4.0,2015-Q1
Connecticut,3900,3900,870,22.30769230769231,290,0,0.0,2015-Q1
Florida,305000,315000,42000,13.333333333333334,54000,25000,8.19672131147541,2015-Q1
Georgia,104000,105000,14500,13.80952380952381,47000,9500,9.134615384615383,2015-Q1
Hawaii,10500,10500,380,3.619047619047619,3400,760,7.238095238095238,2015-Q1
Idaho,81000,88000,3700,4.204545454545454,2600,8000,9.876543209876543,2015-Q1
Illinois,6000,10500,4200,40.0,2300,390,6.5,2015-Q1
Indiana,9000,9500,2100,22.105263157894736,490,120,1.3333333333333335,2015-Q1
Iowa,12500,17500,3100,17.71428571428571,1700,270,2.16,2015-Q1
Kansas,4600,7000,1600,22.857142857142858,450,70,1.5217391304347827,2015-Q1
Kentucky,7500,10500,4100,39.04761904761905,250,0,0.0,2015-Q1
Louisiana,51000,51000,8000,15.686274509803921,3100,6500,12.745098039215685,2015-Q1
Maine,3100,6500,380,5.846153846153846,20,0,0.0,2015-Q1
Maryland,7500,10000,4100,41.0,1600,870,11.600000000000001,2015-Q1
Massachusetts,2900,4600,1000,21.73913043478261,260,120,4.137931034482759,2015-Q1
Michigan,16500,60000,11500,19.166666666666668,7500,2400,14.545454545454545,2015-Q1
Minnesota,28000,74000,3700,5.0,690,530,1.892857142857143,2015-Q1
Mississippi,34000,76000,8500,11.18421052631579,22000,7500,22.058823529411764,2015-Q1
Missouri,12000,13000,2000,15.384615384615385,220,910,7.583333333333334,2015-Q1
